代码,原文评级,评级变动,机构,一个月内调研数,研报前后涨跌幅,研报当天比上一日涨跌幅,研报后一天涨跌幅
300760,增持,维持,中银证券,15,-0.008398026,0.00574298,-0.014060258
002283,买入,维持,天风证券,2,0.040983607,-0.00136612,0.042407661
603266,买入,首次,财通证券,1,0.003943218,-0.006309148,0.01031746
300888,买入,维持,华创证券,11,0.007796295,0.036478077,-0.027672348
000869,买入,-,中银证券,1,-0.01338826,0.008496395,-0.021700281
605009,增持,维持,西南证券,9,-0.006190823,-0.002913328,-0.003287071
300285,买入,维持,华安证券,7,0.002284264,-0.005837563,0.008169517
300578,买入,首次,国盛证券,6,0.037249894,-0.0048957,0.042352941
601615,增持,维持,国盛证券,8,0.040141677,-0.005312869,0.045697329
002254,增持,维持,国联证券,6,-0.008832808,-0.00126183,-0.007580543
605009,增持,首次,华创证券,9,-0.006190823,-0.002913328,-0.003287071
600703,买入,维持,东方证券,4,0.044106746,0.014825797,0.028853178
600475,买入,首次,东方证券,1,0.00789266,0.002367798,0.005511811
603060,买入,维持,广发证券,2,0.037924152,-0.00499002,0.043129388
300724,买入,维持,天风证券,20,0.078043704,0.080314067,-0.002101576
603881,增持,首次,开源证券,7,0.006857143,0.003857143,0.002988473
600406,买入,维持,东吴证券,10,0.073068894,0.010020877,0.062422489
600584,买入,首次,开源证券,10,0.040981654,0.020967358,0.019603267
603700,买入,维持,东吴证券,8,0.055916306,0.019119769,0.036106195
688116,增持,维持,国联证券,1,0.011157601,-0.005113901,0.01635514
603680,增持,首次,国联证券,1,0.001668057,0.006672227,-0.004971002
601899,买入,首次,申港证券,5,0.018930958,0.020044543,-0.001091703
002123,增持,首次,开源证券,4,0.010989011,0.003846154,0.00711549
300724,买入,维持,广发证券,20,0.078043704,0.080314067,-0.002101576
002956,买入,维持,新时代证券,2,-0.033495563,-0.011737761,-0.022016222
300750,增持,维持,国信证券,23,0.010393526,0.003649635,0.006719368
300146,买入,维持,财信证券,9,-0.012518968,-0.019726859,0.007352941
603966,增持,首次,光大证券,2,0.012944984,0.009708738,0.003205128
600486,增持,维持,东方证券,21,0.01961462,0.033439903,-0.013377926
002522,买入,首次,民生证券,2,0,-0.00951087,0.009602195
603906,增持,维持,国金证券,4,0.115528882,0.053263316,0.059116809
300888,增持,首次,新时代证券,11,0.007796295,0.036478077,-0.027672348
601633,买入,维持,华西证券,26,-0.005639098,0.02518797,-0.030069674
688127,买入,首次,国金证券,1,-0.025545171,-0.021806854,-0.003821656
600519,买入,维持,国盛证券,32,0.025314542,0.040843973,-0.014920037
000625,买入,维持,华西证券,16,0.045189504,0.068027211,-0.021383076
002985,增持,维持,天风证券,1,-0.004049884,-0.00861404,0.004603813
300776,买入,首次,安信证券,1,-0.026894158,-0.009543088,-0.017518248
600350,买入,维持,浙商证券,4,0.02994012,0.011976048,0.017751479
600970,买入,首次,国盛证券,3,0.055474453,0.081751825,-0.024291498
002013,买入,维持,天风证券,4,0.004770992,-0.002862595,0.007655502
600519,买入,维持,中泰证券,32,0.025314542,0.040843973,-0.014920037
000983,买入,维持,安信证券,6,0.111320755,0.1,0.010291595
002123,买入,维持,安信证券,4,0.010989011,0.003846154,0.00711549
300699,买入,维持,天风证券,12,-0.032634033,-0.025641026,-0.007177033
603233,买入,首次,华西证券,17,-0.021734234,-0.018355856,-0.003441551
601919,买入,调高,东方证券,3,0.033464567,0.05019685,-0.015932521
688378,买入,首次,国海证券,3,-0.007780248,-0.011590981,0.003855422
002362,买入,首次,西部证券,5,0.003120125,0.002340094,0.00077821
300014,买入,维持,东吴证券,8,0.03470948,0.039908257,-0.004999265
600115,增持,首次,东方财富证券,6,-0.003992016,-0.013972056,0.010121457
603288,增持,维持,东方财富证券,17,-0.006148789,-0.010471204,0.004368156
600600,增持,维持,东方财富证券,14,0.031267142,0.021393308,0.009667025
300892,买入,首次,天风证券,1,0.028035746,,
605136,增持,首次,国元证券,4,0.003282276,,
688133,买入,首次,华安证券,1,0.0232,,
300829,买入,首次,国海证券,3,0.080588877,,
300041,增持,首次,国海证券,6,0.005431503,,
002709,买入,维持,东吴证券,7,0.066487214,,
688222,买入,首次,中泰证券,5,0.062773267,,
300837,增持,首次,中泰证券,1,-0.011210762,,
688408,买入,维持,安信证券,4,0.03410036,,
605099,买入,首次,中泰证券,2,0.066751836,,
600737,买入,首次,华西证券,2,0.010158014,,
688289,增持,首次,浙商证券,2,0.028183237,,
600893,买入,维持,天风证券,4,0.008106819,,
601238,买入,维持,天风证券,16,0.053883835,,
000983,买入,维持,天风证券,6,0.1,,
600519,买入,维持,天风证券,32,0.040843973,,
603010,买入,维持,东北证券,2,0.011061947,,
000932,买入,首次,东吴证券,6,0.023131673,,
300558,买入,维持,华西证券,11,-0.08331037,,
002129,买入,维持,华西证券,8,0.011941619,,
600438,买入,维持,东北证券,18,0.022450889,,
002991,买入,维持,国海证券,3,-0.007054859,0.017163315,-0.023809524
601808,买入,维持,开源证券,5,-0.003259984,0.041564792,-0.043035994
300896,-,-,西部证券,20,0.013339254,0.030248668,-0.016412944
002594,买入,维持,安信证券,14,0.033287959,0.089345378,-0.05145973
600157,中性,首次,东北证券,2,0.006802721,0.027210884,-0.01986755
002959,买入,首次,信达证券,12,-0.020799568,0.008193769,-0.028757703
002601,增持,维持,华创证券,9,-0.030769231,0.001846154,-0.032555283
002335,买入,维持,民生证券,8,0.028850422,0.034176653,-0.005150215
603357,买入,首次,中国银河,1,0.004887586,0.005865103,-0.000971817
601128,增持,维持,华泰证券,16,-0.043250328,-0.009174312,-0.034391534
002149,买入,首次,安信证券,1,0.043945312,0.099609375,-0.05062167
300041,买入,首次,财信证券,6,0.032217309,0.046746684,-0.013880507
001979,-,-,亿翰智库,2,0.008053691,-0.01409396,0.022464261
601899,买入,维持,安信证券,5,0.00477327,0.071599045,-0.062360802
688333,买入,首次,东北证券,2,-0.025454545,0.021590909,-0.046051168
300082,买入,维持,国盛证券,3,0.004784689,0.013397129,-0.008498584
002120,买入,维持,中国银河,9,0.032040472,0.010118044,0.021702838
603313,买入,维持,东北证券,6,-0.009532062,0.010976314,-0.020285714
605099,买入,首次,开源证券,2,0.043800322,0.008373591,0.035132546
600989,买入,维持,开源证券,11,0.017661901,0.053826745,-0.034317638
600299,买入,首次,国海证券,4,0.026355422,0.064006024,-0.035385704
000932,买入,首次,东吴证券,6,0.027124774,0.016274864,0.010676157
300244,买入,维持,中泰证券,5,-0.002415459,0.017210145,-0.019293559
300244,买入,维持,中泰证券,5,-0.002415459,0.017210145,-0.019293559
688029,买入,维持,国金证券,11,-0.001379754,0.002161615,-0.003533731
300558,买入,维持,中泰证券,11,-0.064385965,-0.045,-0.02029944
300558,增持,维持,国金证券,11,-0.064385965,-0.045,-0.02029944
600563,买入,维持,广发证券,4,0.005921619,0.018626184,-0.012472255
601888,增持,维持,国海证券,15,-0.043969232,0.009219355,-0.052702703
601111,增持,首次,东方财富证券,6,0.003797468,0.016455696,-0.0124533
603353,增持,维持,天风证券,8,-0.005382131,0.005597417,-0.010918433
603956,买入,首次,华创证券,1,0.036732456,0.003837719,0.032768979
601088,买入,维持,华西证券,9,-0.003372681,-0.00955593,0.006242906
688357,增持,首次,天风证券,1,0.029056431,-0.01942193,0.049438553
688029,增持,维持,国联证券,11,0.003546263,0.001381661,0.002161615
002032,买入,首次,开源证券,11,0.041477273,0.022443182,0.018616282
603180,买入,首次,开源证券,4,0.023186369,0.012822765,0.010232397
